match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1299189,2022,2022-08-19,"Edgbaston, Birmingham",2,19.2,Birmingham Phoenix,Northern Superchargers,KW Richardson,TG Helm,BA Raine,1,0,,,,,,,,,
1299189,2022,2022-08-19,"Edgbaston, Birmingham",2,19.3,Birmingham Phoenix,Northern Superchargers,TG Helm,KW Richardson,BA Raine,4,2,,2,,,,,,,
1299189,2022,2022-08-19,"Edgbaston, Birmingham",2,19.4,Birmingham Phoenix,Northern Superchargers,TG Helm,KW Richardson,BA Raine,2,0,,,,,,,,,
1299189,2022,2022-08-19,"Edgbaston, Birmingham",2,19.5,Birmingham Phoenix,Northern Superchargers,TG Helm,KW Richardson,BA Raine,0,0,,,,,,bowled,TG Helm,,
1299189,2022,2022-08-19,"Edgbaston, Birmingham",2,19.6,Birmingham Phoenix,Northern Superchargers,Imran Tahir,KW Richardson,BA Raine,6,0,,,,,,,,,
match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,0.1,Manchester Originals,Southern Brave,JC Buttler,PD Salt,GHS Garton,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,0.2,Manchester Originals,Southern Brave,PD Salt,JC Buttler,GHS Garton,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,0.3,Manchester Originals,Southern Brave,PD Salt,JC Buttler,GHS Garton,4,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,0.4,Manchester Originals,Southern Brave,PD Salt,JC Buttler,GHS Garton,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,0.5,Manchester Originals,Southern Brave,PD Salt,JC Buttler,GHS Garton,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,1.1,Manchester Originals,Southern Brave,PD Salt,JC Buttler,MG Hogan,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,1.2,Manchester Originals,Southern Brave,JC Buttler,PD Salt,MG Hogan,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",1,1.3,Manchester Originals,Southern Brave,JC Buttler,PD Salt,MG Hogan,0,0,,,,,,,,,
